id,Usage,prediction_list
000084.jpg,Public,"[['chair', 1.0, 339, 156, 390, 235], ['chair', 1.0, 291, 171, 346, 273], ['chair', 1.0, 224, 165, 263, 185], ['chair', 1.0, 142, 174, 193, 276], ['chair', 1.0, 232, 192, 291, 303], ['sofa', 1.0, 1, 276, 139, 375], ['diningtable', 1.0, 156, 182, 332, 281]]"
000085.jpg,Public,"[['chair', 1.0, 6, 104, 218, 278], ['diningtable', 1.0, 181, 175, 499, 329], ['person', 1.0, 22, 70, 254, 327], ['person', 1.0, 338, 12, 500, 199]]"
000086.jpg,Public,"[['dog', 1.0, 308, 131, 356, 173], ['dog', 1.0, 224, 143, 274, 182], ['dog', 1.0, 270, 125, 298, 153]]"
000088.jpg,Private,"[['train', 1.0, 123, 7, 500, 365]]"
000092.jpg,Public,"[['cat', 1.0, 2, 66, 413, 333]]"
000094.jpg,Public,"[['motorbike', 1.0, 16, 1, 500, 333], ['motorbike', 1.0, 1, 54, 144, 161]]"
000095.jpg,Private,"[['train', 1.0, 20, 52, 439, 285], ['train', 1.0, 1, 125, 114, 234]]"
000096.jpg,Private,"[['person', 1.0, 2, 144, 176, 500], ['person', 1.0, 140, 109, 330, 500]]"
000097.jpg,Public,"[['sofa', 1.0, 58, 174, 270, 285], ['chair', 1.0, 1, 220, 156, 375], ['person', 1.0, 208, 139, 267, 235]]"
000098.jpg,Private,"[['cat', 1.0, 69, 70, 317, 162]]"
000099.jpg,Public,"[['cat', 1.0, 4, 77, 320, 252]]"
000100.jpg,Private,"[['train', 1.0, 3, 47, 432, 222]]"
000101.jpg,Private,"[['chair', 1.0, 185, 58, 348, 186], ['person', 1.0, 40, 64, 400, 333]]"
000103.jpg,Private,"[['car', 1.0, 1, 241, 47, 276], ['car', 1.0, 26, 234, 85, 265], ['car', 1.0, 98, 222, 143, 252], ['car', 1.0, 183, 217, 203, 230], ['car', 1.0, 201, 211, 213, 223], ['car', 1.0, 160, 218, 179, 229], ['car', 1.0, 55, 223, 93, 238], ['car', 1.0, 29, 227, 61, 236], ['car', 1.0, 1, 230, 30, 242]]"
000105.jpg,Public,"[['boat', 1.0, 22, 1, 320, 314], ['person', 1.0, 202, 71, 295, 215], ['person', 1.0, 170, 107, 239, 206]]"
000106.jpg,Private,"[['bird', 1.0, 181, 96, 368, 252]]"
000107.jpg,Public,"[['sheep', 1.0, 471, 174, 500, 227], ['cow', 1.0, 296, 149, 334, 178], ['sheep', 1.0, 242, 146, 259, 169]]"
000108.jpg,Public,"[['dog', 1.0, 313, 131, 500, 235], ['dog', 1.0, 1, 103, 305, 262], ['sofa', 1.0, 1, 59, 500, 375]]"
000110.jpg,Private,"[['person', 1.0, 79, 233, 110, 314], ['person', 1.0, 54, 231, 86, 344], ['person', 1.0, 31, 233, 50, 303]]"
000111.jpg,Private,"[['person', 1.0, 415, 270, 500, 375], ['person', 1.0, 337, 182, 356, 206], ['person', 1.0, 291, 177, 309, 202], ['person', 1.0, 278, 185, 300, 212], ['person', 1.0, 233, 176, 253, 202], ['person', 1.0, 221, 184, 249, 216], ['person', 1.0, 185, 187, 209, 214], ['person', 1.0, 178, 177, 201, 200], ['person', 1.0, 149, 186, 171, 213], ['person', 1.0, 112, 186, 135, 222], ['motorbike', 1.0, 92, 198, 141, 227], ['bicycle', 1.0, 142, 206, 177, 222], ['bicycle', 1.0, 179, 205, 213, 222], ['bicycle', 1.0, 174, 192, 190, 209], ['bicycle', 1.0, 218, 205, 251, 216], ['bicycle', 1.0, 242, 197, 260, 210], ['bicycle', 1.0, 275, 202, 306, 216], ['bicycle', 1.0, 302, 198, 318, 209], ['bicycle', 1.0, 333, 192, 362, 210], ['chair', 1.0, 345, 230, 404, 278]]"
000113.jpg,Public,"[['person', 1.0, 277, 101, 354, 260]]"
000114.jpg,Private,"[['cat', 1.0, 158, 64, 432, 365]]"
000117.jpg,Private,"[['aeroplane', 1.0, 1, 42, 498, 284]]"
000118.jpg,Public,"[['cat', 1.0, 164, 97, 281, 375]]"
000124.jpg,Private,"[['person', 1.0, 2, 6, 104, 146], ['person', 1.0, 230, 25, 320, 138], ['person', 1.0, 78, 15, 478, 375], ['pottedplant', 1.0, 70, 2, 227, 127], ['chair', 1.0, 419, 278, 500, 375]]"
000126.jpg,Public,"[['diningtable', 1.0, 429, 176, 499, 211], ['diningtable', 1.0, 78, 182, 259, 215], ['diningtable', 1.0, 291, 162, 383, 193], ['chair', 1.0, 373, 171, 433, 214], ['chair', 1.0, 351, 165, 373, 211], ['chair', 1.0, 388, 156, 418, 175], ['chair', 1.0, 316, 165, 356, 213], ['chair', 1.0, 295, 157, 310, 164], ['chair', 1.0, 281, 158, 309, 206], ['chair', 1.0, 274, 158, 282, 171], ['chair', 1.0, 259, 172, 291, 214], ['chair', 1.0, 235, 164, 260, 186], ['chair', 1.0, 252, 159, 266, 169], ['chair', 1.0, 174, 163, 208, 180], ['chair', 1.0, 117, 179, 179, 213], ['chair', 1.0, 97, 165, 129, 189], ['chair', 1.0, 123, 164, 134, 174], ['chair', 1.0, 85, 161, 94, 189], ['chair', 1.0, 53, 162, 79, 211], ['person', 1.0, 458, 136, 495, 175], ['person', 1.0, 47, 139, 77, 164], ['person', 1.0, 37, 140, 51, 167], ['person', 1.0, 12, 140, 37, 172]]"
000127.jpg,Private,"[['bird', 1.0, 338, 155, 427, 234], ['bird', 1.0, 312, 192, 408, 284], ['bird', 1.0, 238, 215, 341, 318], ['bird', 1.0, 173, 226, 231, 375], ['person', 1.0, 68, 21, 371, 375]]"
000131.jpg,Public,"[['car', 1.0, 1, 99, 475, 266], ['person', 1.0, 124, 125, 172, 153], ['person', 1.0, 184, 121, 226, 154]]"
000132.jpg,Private,"[['bus', 1.0, 43, 66, 279, 363]]"
000135.jpg,Public,"[['car', 1.0, 208, 194, 332, 259]]"
000137.jpg,Private,"[['car', 1.0, 96, 430, 164, 482], ['person', 1.0, 133, 360, 142, 390], ['person', 1.0, 122, 355, 135, 392]]"
000139.jpg,Public,"[['bicycle', 1.0, 114, 124, 262, 275], ['person', 1.0, 151, 52, 265, 209], ['person', 1.0, 1, 173, 98, 334]]"
000142.jpg,Public,"[['car', 1.0, 26, 81, 465, 266]]"
000143.jpg,Public,"[['cat', 1.0, 170, 46, 500, 333]]"
000145.jpg,Private,"[['train', 1.0, 52, 88, 380, 291], ['train', 1.0, 412, 132, 489, 288]]"
000148.jpg,Public,"[['bird', 1.0, 131, 112, 465, 312]]"
000149.jpg,Private,"[['pottedplant', 1.0, 114, 2, 351, 361]]"
000150.jpg,Private,"[['horse', 1.0, 186, 78, 319, 264], ['person', 1.0, 353, 54, 379, 108], ['person', 1.0, 415, 51, 436, 109], ['person', 1.0, 476, 54, 492, 98], ['person', 1.0, 489, 51, 500, 100]]"
000151.jpg,Public,"[['bottle', 1.0, 153, 136, 375, 264], ['person', 1.0, 4, 49, 375, 440]]"
000155.jpg,Private,"[['bicycle', 1.0, 94, 51, 134, 124], ['bicycle', 1.0, 122, 160, 168, 255], ['bicycle', 1.0, 223, 288, 305, 419], ['person', 1.0, 89, 7, 137, 89], ['person', 1.0, 114, 120, 171, 208], ['person', 1.0, 221, 250, 299, 359]]"
000160.jpg,Public,"[['sofa', 1.0, 2, 242, 336, 373]]"
000165.jpg,Private,"[['person', 1.0, 89, 54, 500, 386]]"
000166.jpg,Public,"[['person', 1.0, 324, 170, 354, 285], ['person', 1.0, 243, 180, 292, 227], ['person', 1.0, 2, 170, 22, 266], ['person', 1.0, 26, 178, 47, 230], ['person', 1.0, 67, 114, 160, 238], ['horse', 1.0, 48, 163, 229, 334]]"
000167.jpg,Public,"[['dog', 1.0, 27, 18, 478, 374]]"
000168.jpg,Private,"[['person', 1.0, 72, 102, 223, 304], ['horse', 1.0, 104, 123, 201, 471]]"
000169.jpg,Public,"[['car', 1.0, 23, 28, 480, 284], ['person', 1.0, 102, 3, 161, 50], ['car', 1.0, 439, 23, 500, 178], ['person', 1.0, 419, 39, 444, 81], ['person', 1.0, 454, 36, 487, 71], ['car', 1.0, 12, 46, 104, 132]]"
000175.jpg,Public,"[['sheep', 1.0, 25, 34, 419, 271]]"
000176.jpg,Public,"[['sheep', 1.0, 41, 135, 148, 288], ['sheep', 1.0, 175, 152, 287, 284], ['sheep', 1.0, 287, 216, 319, 277], ['sheep', 1.0, 2, 208, 83, 278]]"
000177.jpg,Private,"[['diningtable', 1.0, 59, 152, 461, 375], ['person', 1.0, 344, 150, 500, 375], ['person', 1.0, 321, 85, 456, 362], ['person', 1.0, 304, 92, 391, 209], ['person', 1.0, 280, 88, 337, 172], ['person', 1.0, 163, 67, 261, 163], ['person', 1.0, 125, 94, 164, 166], ['person', 1.0, 75, 87, 158, 231], ['person', 1.0, 1, 112, 97, 375]]"
000180.jpg,Private,"[['car', 1.0, 14, 110, 496, 356]]"
000182.jpg,Private,"[['sofa', 1.0, 5, 4, 500, 373], ['person', 1.0, 114, 50, 325, 372]]"
000183.jpg,Private,"[['dog', 1.0, 77, 2, 500, 338]]"
000184.jpg,Public,"[['boat', 1.0, 289, 106, 338, 192], ['boat', 1.0, 375, 144, 403, 188], ['boat', 1.0, 458, 154, 480, 190], ['boat', 1.0, 2, 1, 312, 375]]"
000186.jpg,Private,"[['bird', 1.0, 58, 49, 284, 362]]"
000190.jpg,Private,"[['bus', 1.0, 426, 197, 500, 273], ['bus', 1.0, 235, 216, 323, 258], ['bus', 1.0, 141, 212, 169, 276], ['bus', 1.0, 51, 210, 152, 308], ['bus', 1.0, 1, 209, 55, 313], ['person', 1.0, 314, 241, 325, 269], ['person', 1.0, 278, 242, 284, 268], ['person', 1.0, 273, 245, 278, 257], ['person', 1.0, 256, 242, 265, 270], ['person', 1.0, 247, 244, 256, 268], ['person', 1.0, 206, 245, 214, 270], ['person', 1.0, 187, 243, 196, 277], ['person', 1.0, 178, 245, 185, 273]]"
000191.jpg,Public,"[['person', 1.0, 29, 181, 147, 499], ['person', 1.0, 307, 222, 333, 428], ['person', 1.0, 301, 252, 310, 281], ['person', 1.0, 293, 249, 301, 272], ['person', 1.0, 283, 251, 292, 265], ['person', 1.0, 234, 245, 244, 273], ['person', 1.0, 224, 244, 232, 271], ['person', 1.0, 204, 244, 218, 296], ['person', 1.0, 189, 248, 197, 269], ['person', 1.0, 180, 238, 187, 252], ['person', 1.0, 167, 245, 188, 295], ['person', 1.0, 140, 245, 155, 293], ['person', 1.0, 123, 235, 132, 250], ['person', 1.0, 224, 233, 316, 438]]"
000195.jpg,Public,"[['bus', 1.0, 6, 15, 482, 373]]"
000197.jpg,Public,"[['car', 1.0, 35, 56, 466, 259]]"
000199.jpg,Public,"[['bird', 1.0, 82, 68, 383, 270]]"
000201.jpg,Public,"[['person', 1.0, 180, 72, 234, 124], ['person', 1.0, 316, 29, 376, 93], ['person', 1.0, 268, 81, 384, 248], ['motorbike', 1.0, 256, 135, 378, 314], ['motorbike', 1.0, 326, 59, 391, 134]]"
000202.jpg,Private,"[['bottle', 1.0, 417, 114, 500, 333], ['person', 1.0, 1, 8, 335, 375]]"
000205.jpg,Public,"[['person', 1.0, 107, 156, 304, 482], ['dog', 1.0, 83, 277, 241, 401], ['sofa', 1.0, 1, 199, 374, 457]]"
000206.jpg,Private,"[['person', 1.0, 301, 378, 315, 412], ['person', 1.0, 264, 378, 273, 396], ['person', 1.0, 255, 378, 266, 395], ['person', 1.0, 89, 349, 189, 500]]"
000210.jpg,Public,"[['car', 1.0, 377, 211, 404, 225], ['person', 1.0, 443, 211, 468, 235], ['person', 1.0, 323, 214, 335, 226], ['person', 1.0, 15, 214, 37, 240]]"
000213.jpg,Private,"[['cat', 1.0, 100, 69, 312, 294]]"
000214.jpg,Public,"[['horse', 1.0, 205, 1, 500, 375]]"
000215.jpg,Public,"[['cat', 1.0, 144, 81, 338, 411]]"
000217.jpg,Private,"[['diningtable', 1.0, 133, 184, 409, 333], ['chair', 1.0, 135, 213, 235, 333], ['chair', 1.0, 121, 210, 200, 320], ['chair', 1.0, 296, 224, 383, 333], ['chair', 1.0, 351, 192, 390, 241], ['chair', 1.0, 320, 182, 348, 227], ['chair', 1.0, 292, 169, 337, 217], ['chair', 1.0, 251, 167, 298, 205], ['chair', 1.0, 156, 172, 193, 195]]"
000221.jpg,Private,"[['car', 1.0, 72, 77, 432, 253]]"
000223.jpg,Public,"[['train', 1.0, 156, 85, 341, 290], ['person', 1.0, 372, 259, 390, 300]]"
000226.jpg,Private,"[['chair', 1.0, 312, 250, 432, 375], ['chair', 1.0, 322, 221, 388, 284], ['chair', 1.0, 74, 265, 262, 375], ['chair', 1.0, 458, 218, 500, 310], ['chair', 1.0, 422, 204, 452, 257], ['chair', 1.0, 164, 197, 186, 240], ['chair', 1.0, 51, 230, 113, 375], ['chair', 1.0, 2, 208, 58, 313], ['diningtable', 1.0, 111, 242, 377, 375], ['diningtable', 1.0, 33, 204, 129, 246], ['person', 1.0, 233, 161, 296, 221], ['person', 1.0, 352, 168, 404, 243]]"
000227.jpg,Public,"[['cat', 1.0, 220, 123, 473, 354], ['tvmonitor', 1.0, 26, 38, 177, 163]]"
000230.jpg,Public,"[['bicycle', 1.0, 162, 167, 397, 357], ['person', 1.0, 250, 72, 357, 355]]"
000233.jpg,Private,"[['sheep', 1.0, 277, 106, 483, 267], ['car', 1.0, 1, 2, 451, 193]]"
000234.jpg,Public,"[['chair', 1.0, 307, 92, 472, 326], ['pottedplant', 1.0, 61, 231, 135, 316], ['pottedplant', 1.0, 11, 150, 75, 201], ['pottedplant', 1.0, 12, 51, 220, 228]]"
000236.jpg,Private,"[['bird', 1.0, 88, 169, 275, 314]]"
000237.jpg,Public,"[['person', 1.0, 232, 37, 337, 201], ['horse', 1.0, 55, 47, 387, 332]]"
000238.jpg,Private,"[['train', 1.0, 1, 1, 293, 373], ['person', 1.0, 443, 252, 490, 374]]"
000239.jpg,Public,"[['bus', 1.0, 63, 26, 468, 219], ['person', 1.0, 1, 138, 33, 206], ['person', 1.0, 29, 166, 82, 238]]"
000240.jpg,Public,"[['boat', 1.0, 410, 133, 489, 172], ['car', 1.0, 263, 175, 438, 234], ['car', 1.0, 60, 156, 146, 221], ['car', 1.0, 374, 154, 416, 181], ['person', 1.0, 348, 153, 374, 189], ['person', 1.0, 159, 153, 175, 193], ['car', 1.0, 176, 152, 206, 174], ['boat', 1.0, 33, 151, 51, 170], ['boat', 1.0, 1, 154, 13, 170]]"
000241.jpg,Private,"[['boat', 1.0, 356, 183, 500, 280], ['boat', 1.0, 60, 109, 142, 213], ['boat', 1.0, 246, 134, 348, 217]]"
000243.jpg,Private,"[['aeroplane', 1.0, 181, 127, 274, 193]]"
000245.jpg,Private,"[['car', 1.0, 18, 131, 488, 292], ['person', 1.0, 303, 139, 329, 171]]"
000247.jpg,Public,"[['chair', 1.0, 2, 143, 135, 319], ['person', 1.0, 114, 51, 273, 374], ['person', 1.0, 146, 143, 247, 395]]"
000248.jpg,Public,"[['person', 1.0, 189, 157, 308, 265], ['horse', 1.0, 104, 90, 313, 273]]"
000249.jpg,Private,"[['chair', 1.0, 67, 188, 183, 330], ['chair', 1.0, 108, 174, 160, 205], ['chair', 1.0, 156, 169, 202, 195], ['chair', 1.0, 173, 184, 274, 326], ['chair', 1.0, 268, 182, 316, 307], ['chair', 1.0, 269, 160, 314, 186], ['chair', 1.0, 307, 119, 376, 228], ['diningtable', 1.0, 102, 177, 324, 302]]"
000251.jpg,Public,"[['car', 1.0, 1, 474, 149, 500], ['car', 1.0, 2, 450, 83, 475], ['car', 1.0, 96, 435, 275, 500], ['car', 1.0, 362, 440, 453, 500], ['person', 1.0, 52, 429, 70, 469], ['person', 1.0, 13, 421, 29, 450], ['person', 1.0, 21, 429, 39, 461]]"
000253.jpg,Private,"[['train', 1.0, 108, 55, 350, 228]]"
000254.jpg,Public,"[['car', 1.0, 197, 239, 475, 333], ['car', 1.0, 1, 210, 197, 333], ['car', 1.0, 159, 247, 231, 314], ['car', 1.0, 1, 248, 41, 277], ['car', 1.0, 45, 245, 74, 274]]"
000255.jpg,Public,"[['dog', 1.0, 2, 2, 419, 332]]"
000257.jpg,Private,"[['tvmonitor', 1.0, 82, 1, 183, 57], ['person', 1.0, 20, 142, 222, 375], ['person', 1.0, 175, 68, 472, 375]]"
000258.jpg,Public,"[['dog', 1.0, 192, 123, 404, 333], ['person', 1.0, 350, 27, 500, 333]]"
000260.jpg,Private,"[['aeroplane', 1.0, 55, 50, 456, 235], ['aeroplane', 1.0, 394, 163, 500, 212]]"
000261.jpg,Private,"[['bicycle', 1.0, 1, 76, 405, 326], ['bicycle', 1.0, 58, 79, 408, 295]]"
000264.jpg,Public,"[['motorbike', 1.0, 2, 82, 333, 500], ['person', 1.0, 115, 47, 309, 475]]"
000265.jpg,Public,"[['tvmonitor', 1.0, 167, 8, 363, 144], ['motorbike', 1.0, 168, 175, 282, 319], ['person', 1.0, 131, 233, 231, 333], ['person', 1.0, 109, 179, 240, 333], ['person', 1.0, 16, 184, 134, 332], ['person', 1.0, 257, 29, 353, 135], ['person', 1.0, 3, 74, 65, 259]]"
000266.jpg,Private,"[['dog', 1.0, 98, 19, 374, 500], ['sofa', 1.0, 1, 1, 375, 500]]"
000267.jpg,Private,"[['horse', 1.0, 80, 86, 332, 500]]"
000268.jpg,Private,"[['aeroplane', 1.0, 180, 103, 436, 281], ['aeroplane', 1.0, 1, 58, 262, 333]]"
000269.jpg,Private,"[['bottle', 1.0, 185, 264, 205, 320], ['bottle', 1.0, 298, 245, 326, 312], ['bottle', 1.0, 240, 1, 261, 26], ['bottle', 1.0, 157, 1, 174, 27], ['bottle', 1.0, 139, 1, 155, 28], ['person', 1.0, 227, 56, 497, 213], ['person', 1.0, 91, 59, 245, 261], ['person', 1.0, 37, 134, 203, 332], ['person', 1.0, 226, 75, 413, 274], ['person', 1.0, 258, 114, 477, 332]]"
000271.jpg,Private,"[['car', 1.0, 414, 182, 484, 237], ['person', 1.0, 338, 189, 357, 232], ['person', 1.0, 43, 169, 62, 231]]"
000272.jpg,Public,"[['person', 1.0, 25, 71, 304, 500]]"
000273.jpg,Private,"[['cow', 1.0, 235, 149, 304, 184]]"
000274.jpg,Public,"[['bird', 1.0, 49, 100, 407, 303]]"
000275.jpg,Private,"[['person', 1.0, 204, 50, 339, 301], ['horse', 1.0, 57, 109, 418, 433]]"
000277.jpg,Public,"[['sofa', 1.0, 14, 104, 479, 321], ['bottle', 1.0, 394, 337, 434, 375]]"
000280.jpg,Public,"[['bottle', 1.0, 454, 153, 477, 213], ['bottle', 1.0, 480, 107, 500, 173], ['bottle', 1.0, 438, 127, 458, 164], ['person', 1.0, 153, 68, 288, 325], ['diningtable', 1.0, 245, 153, 500, 375]]"
000281.jpg,Private,"[['train', 1.0, 47, 93, 436, 254]]"
000285.jpg,Public,"[['person', 1.0, 224, 77, 462, 375], ['person', 1.0, 37, 97, 231, 375], ['chair', 1.0, 369, 203, 437, 375], ['chair', 1.0, 120, 220, 229, 375]]"
000286.jpg,Private,"[['person', 1.0, 94, 218, 226, 375], ['person', 1.0, 189, 11, 500, 375]]"
000287.jpg,Public,"[['person', 1.0, 421, 65, 500, 129], ['person', 1.0, 413, 128, 500, 375], ['person', 1.0, 7, 1, 303, 374]]"
000290.jpg,Private,"[['dog', 1.0, 88, 101, 333, 500]]"
000292.jpg,Public,"[['cat', 1.0, 94, 1, 442, 374]]"
000293.jpg,Public,"[['person', 1.0, 13, 20, 65, 192], ['person', 1.0, 140, 33, 175, 133], ['person', 1.0, 171, 40, 200, 116], ['person', 1.0, 479, 49, 500, 76], ['car', 1.0, 1, 2, 456, 318], ['car', 1.0, 68, 62, 122, 99]]"
000297.jpg,Public,"[['cow', 1.0, 103, 120, 249, 395], ['person', 1.0, 269, 176, 366, 399], ['person', 1.0, 226, 178, 319, 365]]"
000299.jpg,Public,"[['sofa', 1.0, 1, 127, 150, 242], ['chair', 1.0, 179, 248, 280, 323], ['person', 1.0, 160, 118, 290, 337], ['bottle', 1.0, 100, 210, 111, 234], ['person', 1.0, 62, 45, 83, 69], ['person', 1.0, 86, 45, 112, 69], ['person', 1.0, 1, 57, 29, 88]]"
000300.jpg,Private,"[['car', 1.0, 37, 192, 337, 447]]"
000301.jpg,Private,"[['car', 1.0, 8, 295, 375, 487], ['car', 1.0, 15, 318, 106, 365], ['car', 1.0, 1, 335, 26, 361]]"
000304.jpg,Public,"[['tvmonitor', 1.0, 82, 96, 242, 238]]"
000309.jpg,Public,"[['bird', 1.0, 105, 170, 325, 298]]"
